A0,PA0
A1,PA1
A2,PA2
A3,PA3
A4,PA4
A5,PA5
A6,PA6
A7,PA7
A8,PA8
A9,PA9
A10,PA10
A11,PA11
A12,PA12
A13,PA13
A14,PA14
A15,PA15
B0,PB0
B1,PB1
B2,PB2
B3,PB3
B4,PB4
B5,PB5
B6,PB6
B7,PB7
B8,PB8
B9,PB9
B10,PB10
B11,PB11
B12,PB12
B13,PB13
B14,PB14
B15,PB15
C0,PC0
C1,PC1
C2,PC2
C3,PC3
C4,PC4
C5,PC5
C6,PC6
C7,PC7
C8,PC8
C9,PC9
C10,PC10
C11,PC11
C12,PC12
C13,PC13
C14,PC14
C15,PC15
D0,PD0
D1,PD1
D2,PD2
D3,PD3
D4,PD4
D5,PD5
D6,PD6
D7,PD7
D8,PD8
D9,PD9
D10,PD10
D11,PD11
D12,PD12
D13,PD13
D14,PD14
D15,PD15
E0,PE0
E1,PE1
E2,PE2
E3,PE3
E4,PE4
E5,PE5
E6,PE6
E7,PE7
E8,PE8
E9,PE9
E10,PE10
E11,PE11
E12,PE12
E13,PE13
E14,PE14
E15,PE15
LED1,PC0
LED2,PC1
LED3,PC2
USRSW,PC13
USB_DM,PA11
USB_DP,PA12
OSC32_IN,PC14
OSC32_OUT,PC15
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12
SD_SW,PC3
UART1_TX,PA9
UART1_RX,PA10
UART2_TX,PD5
UART2_RX,PD6
UART3_TX,PD8
UART3_RX,PD9
UART4_TX,PD1
UART4_RX,PD0
UART7_TX,PE8
UART7_RX,PE7
UART8_TX,PE1
UART8_RX,PE0
I2C1_SCL,PB6
I2C1_SDA,PB7
I2C4_SCL,PB8
I2C4_SDA,PB9
SPI1_CS,PA4
SPI1_SCK,PA5
SPI1_MISO,PA6
SPI1_MOSI,PA7
SPI2_CS,PB12
SPI2_SCK,PB13
SPI2_MISO,PB14
SPI2_MOSI,PB15
SPI4_CS,PE11
SPI4_SCK,PE12
SPI4_MISO,PE13
SPI4_MOSI,PE14
SPI6_CS,PA15
SPI6_SCK,PB3
SPI6_MISO,PB4
SPI6_MOSI,PB5

